datetime,ppm,temp,rh,class
2021-08-11 08:37:42,362.6,27.3,71.92,3
2021-08-11 08:38:04,414.38,27.29,71.73,3
2021-08-11 08:38:27,334.15,27.3,72.09,3
2021-08-11 08:38:50,362.6,27.31,71.75,3
2021-08-11 08:39:12,451.26,27.31,71.69,3
2021-08-11 08:39:35,436.05,27.31,71.68,3
2021-08-11 08:39:58,451.26,27.32,71.55,3
2021-08-11 08:40:20,459.1,27.31,71.59,3
2021-08-11 08:40:43,459.1,27.32,71.71,3
2021-08-11 08:41:06,459.1,27.32,71.88,3
2021-08-11 08:41:28,459.1,27.32,71.69,3
2021-08-11 08:41:51,328.78,27.32,71.71,3
2021-08-11 08:42:13,345.2,27.33,71.57,3
2021-08-11 08:42:36,374.78,27.32,71.56,3
2021-08-11 08:42:59,400.65,27.33,71.82,3
2021-08-11 08:43:21,414.38,27.34,71.64,3
2021-08-11 08:43:44,414.38,27.34,71.79,3
2021-08-11 08:44:07,421.46,27.34,71.67,3
2021-08-11 08:44:29,387.45,27.34,71.61,3
2021-08-11 08:44:52,407.44,27.35,71.73,3
2021-08-11 08:45:14,414.38,27.36,71.82,3
2021-08-11 08:45:37,407.44,27.37,71.65,3
2021-08-11 08:46:00,414.38,27.37,71.5,3
2021-08-11 08:46:22,414.38,27.37,71.77,3
2021-08-11 08:46:45,414.38,27.38,71.74,3
2021-08-11 08:47:08,414.38,27.39,71.57,3
2021-08-11 08:47:30,421.46,27.4,71.67,3
2021-08-11 08:47:53,421.46,27.39,71.6,3
2021-08-11 08:48:15,328.78,27.4,71.48,3
2021-08-11 08:48:38,374.78,27.4,71.5,3
2021-08-11 08:49:01,400.65,27.4,71.61,3
2021-08-11 08:49:23,387.45,27.41,71.59,3
2021-08-11 08:49:46,387.45,27.42,71.74,3
2021-08-11 08:50:36,400.65,27.43,71.77,3
2021-08-11 08:50:59,407.44,27.44,71.7,3
2021-08-11 08:51:22,407.44,27.44,71.74,3
2021-08-11 08:51:44,407.44,27.46,71.62,3
2021-08-11 08:52:07,400.65,27.46,71.67,3
2021-08-11 08:52:29,414.38,27.47,71.81,3
2021-08-11 08:52:52,339.62,27.48,71.8,3
2021-08-11 08:53:15,414.38,27.48,71.62,3
2021-08-11 08:53:37,414.38,27.48,71.55,3
2021-08-11 08:54:00,345.2,27.48,71.87,3
2021-08-11 08:54:23,407.44,27.49,71.72,3
2021-08-11 08:54:45,345.2,27.49,71.6,3
2021-08-11 08:55:08,345.2,27.46,71.43,3
2021-08-11 08:55:31,414.38,27.45,71.43,3
2021-08-11 08:55:53,374.78,27.47,71.63,3
2021-08-11 08:56:16,298.66,27.47,71.52,3
2021-08-11 08:56:38,374.78,27.47,71.68,3
2021-08-11 08:57:01,289.35,27.48,72.0,3
2021-08-11 08:57:24,374.78,27.48,71.68,3
