463.708,27.27,64.131,44.713,-0.012,0.035,-1.516,0.19,1.08,3.0
416.678,27.357,64.105,20.869,-1.42,0.021,0.586,0.093,0.575,3.0
404.062,27.113,70.174,34.477,0.113,0.026,0.132,0.263,0.203,3.0
408.587,27.102,70.495,39.777,-1.914,0.008,1.506,0.154,-0.09,3.0
435.094,27.109,70.858,23.13,9.557,0.008,-1.053,0.178,-0.51,3.0
430.959,27.141,71.036,29.814,1.351,0.017,-0.446,0.136,1.048,3.0
412.699,27.169,71.439,33.647,-1.871,0.023,0.985,0.118,-1.466,3.0
380.638,27.221,71.502,26.97,-1.165,0.01,0.49,0.326,0.577,3.0
376.706,27.258,71.626,25.263,-0.045,0.009,-0.546,0.101,1.271,3.0
406.701,27.289,71.694,34.479,0.038,0.019,-1.696,0.147,3.495,3.0
410.071,27.329,71.69,43.255,-0.527,0.012,-1.064,0.098,-0.486,3.0
400.105,27.389,71.634,25.875,4.369,0.018,-0.934,0.11,-1.052,3.0
392.018,27.467,71.706,29.741,-0.381,0.021,-0.932,0.097,-0.901,3.0
359.866,27.472,71.681,37.563,-0.389,0.01,1.089,0.156,0.576,3.0
337.812,27.509,71.711,47.989,-1.674,0.024,-1.181,0.052,-0.737,3.0
297.556,27.555,71.458,30.416,-0.809,0.013,-0.784,0.095,-1.217,3.0
307.05,27.608,71.282,26.877,-0.326,0.026,-0.794,0.053,-0.203,3.0
303.952,27.698,71.249,29.132,-0.593,0.027,-0.685,0.085,0.548,3.0
321.761,27.792,71.297,31.642,-0.811,0.022,-0.847,0.072,3.896,3.0
321.439,27.874,71.144,30.37,-2.19,0.032,-1.005,0.063,-1.462,3.0
328.627,27.998,71.111,37.265,-0.725,0.033,0.047,0.08,1.758,2.0
403.969,28.066,70.834,71.075,-0.377,0.014,-0.543,0.208,2.753,2.0
482.458,28.142,70.647,91.633,4.023,0.035,-1.218,0.07,3.349,2.0
565.306,28.258,70.562,23.223,2.411,0.037,-1.674,0.088,0.326,2.0
567.748,28.383,70.531,27.213,-1.361,0.039,-1.385,0.117,2.26,2.0
579.885,28.428,70.315,25.914,2.482,0.012,-1.02,0.116,-0.72,2.0
579.667,28.474,69.838,26.074,0.471,0.021,-1.068,0.139,1.011,3.0
581.013,28.553,69.387,15.954,11.992,0.015,-1.552,0.146,-1.399,3.0
581.929,28.578,68.832,19.8,9.782,0.01,0.242,0.164,0.79,3.0
582.168,28.65,68.583,32.27,-0.768,0.03,-0.908,0.235,-1.277,3.0
588.255,28.754,68.226,24.374,0.045,0.036,-0.559,0.135,-0.537,3.0
575.624,28.856,67.891,32.359,-1.85,0.034,-1.315,0.096,-0.948,3.0
598.494,28.955,67.95,34.687,0.947,0.028,3.881,0.121,-1.404,1.0
679.105,29.027,68.129,79.654,-0.815,0.018,2.665,0.168,3.127,1.0
693.495,29.03,67.785,8.832,-0.815,0.0,2.665,0.078,3.127,1.0
391.729,27.268,67.268,21.526,1.389,0.016,0.599,0.03,-0.899,1.0
378.06,27.351,67.217,24.154,0.515,0.023,-1.189,0.025,-0.872,1.0
381.349,27.44,67.138,15.659,10.302,0.018,1.05,0.046,1.92,2.0
383.955,27.496,67.103,19.846,2.472,0.018,2.279,0.051,2.547,2.0
385.688,27.635,67.118,22.208,-0.226,0.049,-0.963,0.059,-0.56,3.0
